Name_sequence	Genome_length	Virus_name	Complete_segment_name
>AB014366.1	3227	Hepatitis B virus genomic DNA	Hepatitis B virus genomic DNA, complete sequence, isolate 07D07HCC
AB100695.1	3215	Hepatitis B virus DNA	Hepatitis B virus DNA, complete genome, isolate: HBV-VH133
AB112063.1	3215	Hepatitis B virus DNA	Hepatitis B virus DNA, complete genome, isolate: HBV-VT101
AB241110.1	3215	Hepatitis B virus DNA	Hepatitis B virus DNA, complete genome, isolate:PhLC03
AB287314.1	3215	Hepatitis B virus DNA	Hepatitis B virus DNA, complete genome, isolate: Alaska433
AB670275.1	3194	Hepatitis B virus x gene	Hepatitis B virus x gene, complete sequence, isolate: Non-HCC pt No.2
AF068756.1	3215	Hepatitis B virus	Hepatitis B virus, complete genome
AF100308.1	3215	Hepatitis B virus strain 2-18	Hepatitis B virus strain 2-18, complete genome
AF363961.1	3215	Hepatitis B virus strain G683-1	Hepatitis B virus strain G683-1, complete genome
AF461360.1	3194	Hepatitis B virus isolate FH14-2	Hepatitis B virus isolate FH14-2, complete genome
AY033072.1	3215	Hepatitis B virus serotype ayw1	Hepatitis B virus serotype ayw1, complete genome
AY167091.1	3230	Hepatitis B virus isolate Ic	Hepatitis B virus isolate Ic, complete genome
AY206389.1	3254	Hepatitis B virus strain FMU018 complete genome	Hepatitis B virus strain FMU018 complete genome
AY293309.1	3215	Hepatitis B virus strain Whutj-37	Hepatitis B virus strain Whutj-37, complete genome
D00630.1	3215	Hepatitis B virus subtype adr genomic DNA	Hepatitis B virus subtype adr genomic DNA, complete sequence
EU306725.1	3254	Hepatitis B virus clone 6022-17	Hepatitis B virus clone 6022-17, complete genome
GQ358157.1	3215	Hepatitis B virus isolate M007	Hepatitis B virus isolate M007, complete genome
HQ700562.1	3215	Hepatitis B virus isolate C_Tomga_BH5413_2002	Hepatitis B virus isolate C_Tomga_BH5413_2002, complete genome
HQ700578.1	3194	Hepatitis B virus isolate C_Tonga_To16_2004	Hepatitis B virus isolate C_Tonga_To16_2004, complete genome
JQ027312.1	3239	Hepatitis B virus strain HB531	Hepatitis B virus strain HB531, complete genome
JQ040167.1	3215	Hepatitis B virus isolate G225	Hepatitis B virus isolate G225, complete genome
JQ429078.1	3239	Hepatitis B virus isolate 08.40.117	Hepatitis B virus isolate 08.40.117, complete genome
JQ429081.1	3218	Hepatitis B virus isolate 09.80.055	Hepatitis B virus isolate 09.80.055, complete genome
JQ707734.1	3215	Hepatitis B virus isolate S35_1 polymerase gene	Hepatitis B virus isolate S35_1 polymerase gene, complete cds
JQ801485.1	3248	Hepatitis B virus isolate AIDS32	Hepatitis B virus isolate AIDS32, complete genome
KC774196.1	3215	Hepatitis B virus isolate clz2015	Hepatitis B virus isolate clz2015, complete genome
KC774351.1	3215	Hepatitis B virus isolate cyc1031	Hepatitis B virus isolate cyc1031, complete genome
KF873514.1	3215	Hepatitis B virus isolate 053_EA_Gap	Hepatitis B virus isolate 053_EA_Gap, complete genome
KF873536.1	3215	Hepatitis B virus isolate 062_WA_Man	Hepatitis B virus isolate 062_WA_Man, complete genome
KF873544.1	3197	Hepatitis B virus isolate 009_DR_Wad	Hepatitis B virus isolate 009_DR_Wad, complete genome
KU679951.1	3215	Hepatitis B virus isolate 112_CA_Her	Hepatitis B virus isolate 112_CA_Her, complete genome
KU964272.1	3221	Hepatitis B virus isolate 34_1 core protein (C) gene	Hepatitis B virus isolate 34_1 core protein (C) gene, complete cds
KX276797.1	3215	Hepatitis B virus strain CH074	Hepatitis B virus strain CH074, complete genome
KX276846.1	3221	Hepatitis B virus strain CH036	Hepatitis B virus strain CH036, complete genome
KX276855.1	3215	Hepatitis B virus strain CH040	Hepatitis B virus strain CH040, complete genome
KX276858.1	3215	Hepatitis B virus strain CH014	Hepatitis B virus strain CH014, complete genome
KX765818.1	3215	Hepatitis B virus isolate PID:0022	Hepatitis B virus isolate PID:0022, complete genome
KX765841.1	3215	Hepatitis B virus isolate PID:1074	Hepatitis B virus isolate PID:1074, complete genome
MF488703.1	3182	Hepatitis B virus isolate OHBV-PCP155	Hepatitis B virus isolate OHBV-PCP155, complete genome
MF674431.1	3194	Hepatitis B virus isolate HBV040090	Hepatitis B virus isolate HBV040090, complete genome
MG826138.1	3215	Hepatitis B virus isolate YNKM36	Hepatitis B virus isolate YNKM36, complete genome
MG826152.1	3215	Hepatitis B virus isolate YNKM70	Hepatitis B virus isolate YNKM70, complete genome
MH094411.1	3215	Hepatitis B virus isolate J48 genotype C	Hepatitis B virus isolate J48 genotype C, complete genome
MN689122.1	3215	Hepatitis B virus isolate YNMB3_23	Hepatitis B virus isolate YNMB3_23, complete genome
X52939.1	3215	Hepatitis B virus genome with a pre X orf	Hepatitis B virus genome with a pre X orf
NC_0039771.2	3182	Hepatitis B virus (strain ayw) genome	Hepatitis B virus (strain ayw) genome
